issue_id,issue_title,business_area,affected_process,issue_source,date_identified,issue_description,affected_control,risk_category,risk_theme,severity,customer_impact,regulatory_impact,financial_impact_gbp,root_cause_category,root_cause_detail,repeat_issue,control_design_rating,operating_effectiveness_rating,issue_owner,action_owner,remediation_action,original_target_date,current_target_date,extension_count,status,last_update_date,management_commentary,closure_evidence_summary,evidence_status,evidence_rejection_count,validation_method,closure_review_date,reviewer_decision,reviewer_rationale,date_closed,residual_risk
ISS-001,Unreconciled loan settlement suspense items,Lending Operations,Loan Settlement Reconciliation,Controls Testing,2026-03-12,"Review of loan settlement reconciliation identified that the control 'Daily suspense reconciliation independently reviewed' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Daily suspense reconciliation independently reviewed,Operational Risk,Payment Processing,High,None,None,,Manual Process Dependency,"The process relied on manually maintained data and reviewer intervention, increasing the risk of delay, omission and inconsistent execution.",false,Effective,Partially Effective,Head of Lending Operations,Lending Controls Manager,Introduce controlled automation and an independent exception review for loan settlement reconciliation.,2026-09-20,2026-10-10,1,Awaiting Closure Review,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Updated procedure and initial implementation evidence submitted for independent review.,Submitted,0,Document inspection and sample testing,,Pending Review,,,
ISS-002,Affordability evidence not retained consistently,Lending Operations,Affordability Assessment,Compliance Monitoring,2026-01-20,"Review of affordability assessment identified that the control 'Completed affordability assessment and supporting evidence retained' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Completed affordability assessment and supporting evidence retained,Conduct Risk,Responsible Lending,Critical,Potential,Potential,,Inadequate Process Design,The documented process did not contain sufficiently precise preventive and detective steps for the risk identified.,true,Partially Effective,Ineffective,Head of Lending Operations,Lending Controls Manager,"Redesign and document the end-to-end control steps for affordability assessment, including ownership and escalation criteria.",2026-07-31,2026-10-31,1,Remediation in Progress,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-003,Post-completion quality assurance sample too narrow,Lending Operations,Post-Completion Quality Assurance,RCSA,2026-07-08,"Review of post-completion quality assurance identified that the control 'Monthly risk-based sample of completed lending cases' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Monthly risk-based sample of completed lending cases,Credit Risk,Quality Assurance,Medium,None,None,,Inadequate Monitoring,Management information and exception monitoring were not sufficiently timely or granular to identify deterioration.,false,Ineffective,Ineffective,Head of Lending Operations,Lending Controls Manager,"Introduce risk-based management information, thresholds and documented exception follow-up for post-completion quality assurance.",2026-11-15,2026-11-15,0,Action Plan Agreed,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-004,Collateral valuation overrides not centrally monitored,Lending Operations,Collateral Valuation,Internal Audit,2026-09-02,"Review of collateral valuation identified that the control 'Valuation overrides approved and reported against thresholds' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Valuation overrides approved and reported against thresholds,Credit Risk,Valuation Controls,High,None,None,,Data Quality,Incomplete or inaccurate source data reduced the reliability of downstream monitoring and management information.,false,Not Yet Tested,Not Yet Tested,Head of Lending Operations,Lending Controls Manager,,,,0,Under Assessment,2026-09-25,The issue is being assessed and accountable actions will be agreed following completion of evidence review.,,Not Submitted,0,,,Pending Review,,,
ISS-005,Broker commission reconciliation differences,Lending Operations,Broker Commission Reconciliation,External Audit,2025-11-03,"Review of broker commission reconciliation identified that the control 'Monthly broker commission reconciliation reviewed by Finance' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Monthly broker commission reconciliation reviewed by Finance,Financial Reporting Risk,Reconciliations,Medium,None,None,,Manual Process Dependency,"The process relied on manually maintained data and reviewer intervention, increasing the risk of delay, omission and inconsistent execution.",false,Effective,Effective,Head of Lending Operations,Lending Controls Manager,Introduce controlled automation and an independent exception review for broker commission reconciliation.,2026-03-31,2026-04-15,1,Closed,2026-04-10,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,"Updated procedure, implementation evidence and post-implementation sample testing.",Validated,0,Document inspection and post-implementation sample testing,2026-04-10,Approve Closure,Remediation evidence was complete and sample testing demonstrated that the redesigned control operated effectively.,2026-04-10,Low
ISS-006,Interest adjustment approvals lack complete evidence,Lending Operations,Loan Interest Adjustments,Controls Testing,2026-02-14,"Review of loan interest adjustments identified that the control 'Interest adjustments approved by an authorised independent reviewer' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Interest adjustments approved by an authorised independent reviewer,Operational Risk,Account Adjustments,Medium,None,None,,Inadequate Process Design,The documented process did not contain sufficiently precise preventive and detective steps for the risk identified.,false,Effective,Partially Effective,Head of Lending Operations,Lending Controls Manager,"Redesign and document the end-to-end control steps for loan interest adjustments, including ownership and escalation criteria.",2026-08-31,2026-09-10,1,Further Evidence Required,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Procedure and selected implementation evidence submitted; reviewer identified gaps in the testing period or population.,Further Evidence Required,0,Document inspection and targeted sample testing,2026-09-22,Request Further Evidence,The evidence supports the revised design but does not yet demonstrate complete and sustained operating effectiveness.,,
ISS-007,Arrears status updates delayed,Lending Operations,Arrears Management,Management Review,2026-01-09,"Review of arrears management identified that the control 'Daily arrears status interface reconciled to the collections platform' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Daily arrears status interface reconciled to the collections platform,Conduct Risk,Collections,High,Potential,None,,Manual Process Dependency,"The process relied on manually maintained data and reviewer intervention, increasing the risk of delay, omission and inconsistent execution.",true,Partially Effective,Ineffective,Head of Lending Operations,Lending Controls Manager,Introduce controlled automation and an independent exception review for arrears management.,2026-06-30,2026-07-31,2,Remediation in Progress,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-008,Credit decision override log incomplete,Lending Operations,Credit Decision Overrides,Internal Audit,2025-10-18,"Review of credit decision overrides identified that the control 'Override access restricted and all decisions recorded with approver rationale' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Override access restricted and all decisions recorded with approver rationale,Credit Risk,Credit Decisioning,High,None,None,,Access Governance,"Access roles, approvals or periodic recertification requirements were not defined and evidenced consistently.",true,Effective,Effective,Head of Lending Operations,Lending Controls Manager,Define least-privilege roles and complete evidenced access approval and recertification for credit decision overrides.,2026-02-28,2026-03-31,1,Closed,2026-03-26,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,"Updated procedure, implementation evidence and post-implementation sample testing.",Validated,0,Document inspection and post-implementation sample testing,2026-03-26,Approve Closure,Remediation evidence was complete and sample testing demonstrated that the redesigned control operated effectively.,2026-03-26,Medium
ISS-009,Emergency production access lacks segregation,Technology,Emergency Production Access,Controls Testing,2026-06-11,"Review of emergency production access identified that the control 'Emergency access approved, time-limited and independently reviewed' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.","Emergency access approved, time-limited and independently reviewed",Technology & Cyber Risk,Privileged Access,Medium,None,None,,Access Governance,"Access roles, approvals or periodic recertification requirements were not defined and evidenced consistently.",false,Partially Effective,Ineffective,Chief Technology Officer,Technology Risk Manager,Define least-privilege roles and complete evidenced access approval and recertification for emergency production access.,2026-10-31,2026-10-31,0,Remediation in Progress,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-010,Legacy server ownership records incomplete,Technology,Technology Asset Ownership,RCSA,2026-09-25,"Review of technology asset ownership identified that the control 'Technology assets assigned to accountable business and technical owners' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Technology assets assigned to accountable business and technical owners,Technology & Cyber Risk,Asset Management,Low,None,None,,Roles and Responsibilities,"Accountability between teams was unclear, resulting in gaps in ownership, review and timely escalation.",false,Not Yet Tested,Not Yet Tested,Chief Technology Officer,Technology Risk Manager,,,,0,Identified,2026-09-25,,,Not Submitted,0,,,Pending Review,,,
